SubjID,Referentiality,Gender_Status,Group,Anteriority,Baseline,Critical,diff_score
207,Referential,NonGendered,Binary,Parietal,-0.6285,2.2175000000000002,2.846
209,NonReferential,Gendered,Binary,Central,1.03875,1.027,-0.01175000000000015
209,NonReferential,Gendered,Binary,CentroParietal,1.02175,0.979,-0.042749999999999955
209,NonReferential,Gendered,Binary,Frontal,1.18025,0.42600000000000005,-0.75425
209,NonReferential,Gendered,Binary,FrontoCentral,1.9680000000000002,1.2280000000000002,-0.74
209,NonReferential,Gendered,Binary,Parietal,1.6007500000000001,1.10925,-0.49150000000000005
209,NonReferential,NonGendered,Binary,Central,0.0027499999999999747,1.3247499999999999,1.3219999999999998
209,NonReferential,NonGendered,Binary,CentroParietal,0.16249999999999998,0.46149999999999997,0.299
209,NonReferential,NonGendered,Binary,Frontal,0.49400000000000005,4.545,4.051
209,NonReferential,NonGendered,Binary,FrontoCentral,0.13750000000000004,2.72875,2.5912499999999996
209,NonReferential,NonGendered,Binary,Parietal,0.96075,-0.47350000000000003,-1.43425
209,Referential,Gendered,Binary,Central,-0.08400000000000002,0.936,1.02
209,Referential,Gendered,Binary,CentroParietal,0.015500000000000014,0.9895,0.974
209,Referential,Gendered,Binary,Frontal,-0.49049999999999994,0.32499999999999996,0.8154999999999999
209,Referential,Gendered,Binary,FrontoCentral,-0.53675,0.5819999999999999,1.11875
209,Referential,Gendered,Binary,Parietal,0.09325000000000001,0.69875,0.6054999999999999
209,Referential,NonGendered,Binary,Central,1.488,3.0795000000000003,1.5915000000000004
209,Referential,NonGendered,Binary,CentroParietal,1.06925,3.49225,2.423
209,Referential,NonGendered,Binary,Frontal,3.16825,2.33975,-0.8285
209,Referential,NonGendered,Binary,FrontoCentral,1.88975,3.08975,1.2
209,Referential,NonGendered,Binary,Parietal,0.44625000000000004,3.12275,2.6765
211,NonReferential,Gendered,Binary,Central,0.67275,0.27025,-0.40249999999999997
211,NonReferential,Gendered,Binary,CentroParietal,0.52225,0.07975,-0.4425
211,NonReferential,Gendered,Binary,Frontal,0.89525,0.49025,-0.40499999999999997
211,NonReferential,Gendered,Binary,FrontoCentral,1.02325,0.54425,-0.479
211,NonReferential,Gendered,Binary,Parietal,0.6795,-0.3395,-1.0190000000000001
211,NonReferential,NonGendered,Binary,Central,0.32799999999999996,1.99275,1.6647500000000002
211,NonReferential,NonGendered,Binary,CentroParietal,0.12425000000000003,1.948,1.82375
211,NonReferential,NonGendered,Binary,Frontal,0.23375,2.383,2.14925
211,NonReferential,NonGendered,Binary,FrontoCentral,0.55725,2.45975,1.9025
211,NonReferential,NonGendered,Binary,Parietal,0.32800000000000007,1.958,1.63
211,Referential,Gendered,Binary,Central,-0.62175,0.325,0.94675
211,Referential,Gendered,Binary,CentroParietal,0.47525,0.37975,-0.09550000000000003
211,Referential,Gendered,Binary,Frontal,-1.1935,0.89225,2.08575
211,Referential,Gendered,Binary,FrontoCentral,-0.81375,0.57575,1.3895
211,Referential,Gendered,Binary,Parietal,0.16574999999999998,0.09875,-0.06699999999999998
211,Referential,NonGendered,Binary,Central,1.69475,0.12149999999999998,-1.57325
211,Referential,NonGendered,Binary,CentroParietal,1.79075,-0.19524999999999998,-1.986
211,Referential,NonGendered,Binary,Frontal,1.9725,0.4135,-1.559
211,Referential,NonGendered,Binary,FrontoCentral,2.07875,0.252,-1.8267499999999999
211,Referential,NonGendered,Binary,Parietal,1.342,-0.45125000000000004,-1.79325
212,NonReferential,Gendered,Binary,Central,0.66975,-1.1167500000000001,-1.7865000000000002
212,NonReferential,Gendered,Binary,CentroParietal,1.01175,-1.16875,-2.1805
212,NonReferential,Gendered,Binary,Frontal,0.02149999999999999,0.41250000000000003,0.391
212,NonReferential,Gendered,Binary,FrontoCentral,0.38475000000000004,-0.53625,-0.921
212,NonReferential,Gendered,Binary,Parietal,0.96325,-1.20375,-2.1670000000000003
212,NonReferential,NonGendered,Binary,Central,0.50525,0.1305,-0.37474999999999997
212,NonReferential,NonGendered,Binary,CentroParietal,0.509,0.3105,-0.1985
212,NonReferential,NonGendered,Binary,Frontal,-0.06224999999999997,-0.25675000000000003,-0.19450000000000006
212,NonReferential,NonGendered,Binary,FrontoCentral,0.04674999999999999,-0.08225000000000002,-0.129
212,NonReferential,NonGendered,Binary,Parietal,0.259,0.40049999999999997,0.14149999999999996
212,Referential,Gendered,Binary,Central,-2.57525,-0.25175,2.3235
212,Referential,Gendered,Binary,CentroParietal,-2.47975,0.49724999999999997,2.9770000000000003
212,Referential,Gendered,Binary,Frontal,-2.9305,-0.9717500000000001,1.9587499999999998
212,Referential,Gendered,Binary,FrontoCentral,-2.61975,-0.6495000000000001,1.9702499999999996
212,Referential,Gendered,Binary,Parietal,-2.2199999999999998,1.18375,3.4037499999999996
212,Referential,NonGendered,Binary,Central,-2.614,-1.453,1.1609999999999998
212,Referential,NonGendered,Binary,CentroParietal,-2.08025,-1.19875,0.8815
212,Referential,NonGendered,Binary,Frontal,-3.54375,-2.941,0.6027500000000003
212,Referential,NonGendered,Binary,FrontoCentral,-3.06525,-2.1445,0.92075
212,Referential,NonGendered,Binary,Parietal,-1.72475,-1.0855,0.6392500000000001
