SubjID,Referentiality,Gender_Status,Group,Baseline,Critical,diff_score
401,NonReferential,NonGendered,NonBinary,0.12575,-0.8161,-0.9418500000000001
401,Referential,Gendered,NonBinary,1.4991499999999998,1.69735,0.19820000000000015
401,Referential,NonGendered,NonBinary,0.10849999999999993,0.9774,0.8689000000000001
402,NonReferential,Gendered,NonBinary,1.40915,1.2558,-0.15334999999999988
402,NonReferential,NonGendered,NonBinary,1.88015,1.3146,-0.56555
402,Referential,Gendered,NonBinary,1.4934,0.8492999999999999,-0.6441000000000001
402,Referential,NonGendered,NonBinary,0.25434999999999997,-0.3424,-0.5967499999999999
403,NonReferential,Gendered,NonBinary,1.9268,1.77845,-0.14834999999999998
403,NonReferential,NonGendered,NonBinary,-0.35575,2.28915,2.6449
403,Referential,Gendered,NonBinary,2.26835,2.0074,-0.2609499999999998
403,Referential,NonGendered,NonBinary,0.95745,0.54215,-0.4153
404,NonReferential,Gendered,NonBinary,-0.18090000000000006,1.3688999999999998,1.5497999999999998
404,NonReferential,NonGendered,NonBinary,-0.126,0.894,1.02
404,Referential,Gendered,NonBinary,0.9489,0.11909999999999993,-0.8298000000000001
404,Referential,NonGendered,NonBinary,0.030699999999999783,-1.3746999999999998,-1.4053999999999995
